cik,ticker,accession,form,filing_date,period_of_report,doc_type,exhibit_label,document,doc_url
0001646972,ACI,0001646972-26-000054,8-K,2026-09-09,2026-09-08,primary,,aci-20260908.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000054/aci-20260908.htm
0001646972,ACI,0001646972-26-000054,8-K,2026-09-09,2026-09-08,exhibit,EX-99.1,ex991-pressreleasebod.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000054/ex991-pressreleasebod.htm
0001646972,ACI,0001646972-26-000050,8-K,2026-08-11,2026-08-06,primary,,aci-20260806.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000050/aci-20260806.htm
0001646972,ACI,0001646972-26-000046,10-Q,2026-07-28,2026-06-20,primary,,aci-20260620.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000046/aci-20260620.htm
0001646972,ACI,0001646972-26-000040,8-K,2026-07-23,2026-07-23,primary,,aci-20260723.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000040/aci-20260723.htm
0001646972,ACI,0001646972-26-000040,8-K,2026-07-23,2026-07-23,exhibit,EX-99.1,ex991-pressreleasecfo.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000040/ex991-pressreleasecfo.htm
0001646972,ACI,0001646972-26-000041,8-K,2026-07-23,2026-07-23,primary,,aci-20260723.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000041/aci-20260723.htm
0001646972,ACI,0001646972-26-000041,8-K,2026-07-23,2026-07-23,exhibit,EX-99.1,aciq126earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000041/aciq126earningsrelease.htm
0001646972,ACI,0001646972-26-000028,8-K,2026-04-14,2026-04-14,primary,,aci-20260414.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000028/aci-20260414.htm
0001646972,ACI,0001646972-26-000028,8-K,2026-04-14,2026-04-14,exhibit,EX-99.1,aciq425earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000028/aciq425earningsrelease.htm
0001646972,ACI,0001646972-26-000028,8-K,2026-04-14,2026-04-14,exhibit,EX-99.2,ex992-opioid.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000028/ex992-opioid.htm
0001646972,ACI,0001646972-26-000028,8-K,2026-04-14,2026-04-14,exhibit,EX-99.3,ex993-dividendrelease.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000028/ex993-dividendrelease.htm
0001646972,ACI,0001646972-26-000023,8-K,2026-02-27,2026-02-25,primary,,aci-20260225.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000023/aci-20260225.htm
0001646972,ACI,0001646972-26-000023,8-K,2026-02-27,2026-02-25,exhibit,EX-99.1,ex991-pressreleaseboardfeb.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000023/ex991-pressreleaseboardfeb.htm
0001646972,ACI,0001646972-26-000019,8-K,2026-02-02,2026-02-02,primary,,aci-20260202.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000019/aci-20260202.htm
0001646972,ACI,0001646972-26-000015,8-K,2026-01-22,2026-01-22,primary,,aci-20260122.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000015/aci-20260122.htm
